order_id,customer_id,order_date,order_status
1,321,2023-11-06,Delivered
2,4909,2023-03-01,Delivered
3,1029,2024-02-03,Returned
4,3211,2024-03-22,Delivered
5,2221,2024-03-22,Delivered
6,685,2023-11-18,Returned
7,70,2023-05-28,Delivered
8,2767,2025-07-22,Delivered
9,835,2024-02-18,Delivered
10,326,2024-03-04,Delivered
11,1384,2024-06-26,Delivered
12,4487,2023-09-05,Delivered
13,4519,2024-08-16,Returned
14,1995,2023-04-18,Delivered
15,984,2023-10-21,Delivered
16,4012,2023-03-13,Delivered
17,2462,2023-02-21,Delivered
18,2806,2025-01-04,Delivered
19,661,2024-06-22,Delivered
20,3126,2025-05-28,Delivered
21,2022,2025-02-15,Delivered
22,4618,2024-07-16,Delivered
23,2842,2023-12-31,Delivered
24,1517,2023-03-19,Delivered
25,1738,2024-07-26,Delivered
26,868,2024-03-31,Delivered
27,2420,2025-03-20,Returned
28,960,2025-07-26,Delivered
29,711,2024-04-05,Delivered
30,4167,2025-12-07,Delivered
31,908,2023-03-09,Delivered
32,985,2024-12-04,Delivered
33,3905,2024-04-17,Delivered
34,218,2025-05-22,Delivered
35,4150,2023-02-10,Delivered
36,447,2023-11-16,Delivered
37,485,2025-03-03,Delivered
38,4527,2024-09-11,Delivered
39,3667,2024-02-16,Delivered
40,1844,2023-11-04,Delivered
41,2136,2023-10-17,Delivered
42,630,2024-03-21,Delivered
43,4396,2025-06-29,Delivered
44,612,2024-01-27,Delivered
45,3905,2025-04-20,Delivered
46,4020,2023-01-22,Delivered
47,112,2023-02-16,Delivered
48,3172,2023-02-22,Delivered
49,4074,2024-07-27,Delivered
50,2212,2023-03-04,Delivered
51,504,2023-05-20,Delivered
52,1006,2024-08-13,Delivered
53,3919,2025-09-01,Delivered
54,939,2023-10-09,Delivered
55,3638,2025-11-15,Delivered
56,1739,2025-07-19,Delivered
57,2986,2023-12-12,Delivered
58,4827,2023-01-20,Delivered
59,280,2023-06-01,Delivered
60,917,2024-12-13,Cancelled
61,3479,2025-01-08,Delivered
62,1505,2023-10-31,Delivered
63,1368,2023-05-18,Delivered
64,2696,2023-08-21,Delivered
65,244,2023-10-31,Delivered
