payment_id,order_id,payment_method
1,1,Credit Card
2,2,Net Banking
3,3,Credit Card
4,4,Wallet
5,5,UPI
6,6,Net Banking
7,7,Credit Card
8,8,Wallet
9,9,Credit Card
10,10,Debit Card
11,11,UPI
12,12,Net Banking
13,13,Credit Card
14,14,Wallet
15,15,Credit Card
16,16,Net Banking
17,17,Wallet
18,18,Net Banking
19,19,Net Banking
20,20,Credit Card
21,21,Wallet
22,22,Credit Card
23,23,Debit Card
24,24,Debit Card
25,25,UPI
26,26,Wallet
27,27,Net Banking
28,28,Wallet
29,29,Wallet
30,30,Wallet
31,31,Debit Card
32,32,Wallet
33,33,Credit Card
34,34,Debit Card
35,35,Net Banking
36,36,UPI
37,37,UPI
38,38,UPI
39,39,Net Banking
40,40,Net Banking
41,41,Net Banking
42,42,Debit Card
43,43,UPI
44,44,Net Banking
45,45,Wallet
46,46,Wallet
47,47,UPI
48,48,UPI
49,49,Wallet
50,50,Wallet
51,51,Credit Card
52,52,Credit Card
53,53,Debit Card
54,54,UPI
55,55,Wallet
56,56,Credit Card
57,57,UPI
58,58,Credit Card
59,59,Debit Card
60,60,UPI
61,61,UPI
62,62,Wallet
63,63,Wallet
64,64,Credit Card
65,65,Credit Card
66,66,Net Banking
67,67,Debit Card
68,68,UPI
69,69,Debit Card
70,70,Debit Card
71,71,Net Banking
72,72,UPI
73,73,Debit Card
74,74,Net Banking
75,75,Wallet
76,76,Debit Card
77,77,Debit Card
78,78,UPI
79,79,Net Banking
80,80,Net Banking
81,81,Credit Card
82,82,Debit Card
83,83,Credit Card
84,84,Wallet
85,85,Debit Card
86,86,UPI
87,87,Net Banking
88,88,Credit Card
89,89,UPI
90,90,UPI
91,91,Net Banking
92,92,Wallet
93,93,Debit Card
94,94,Credit Card
95,95,Net Banking
96,96,UPI
97,97,Debit Card
98,98,UPI
99,99,Net Banking
100,100,UPI
101,101,Credit Card
102,102,UPI
103,103,Debit Card
104,104,Credit Card
105,105,Credit Card
106,106,Debit Card
107,107,Credit Card
108,108,Credit Card
109,109,UPI
110,110,Net Banking
111,111,Credit Card
112,112,Wallet
113,113,UPI
114,114,Credit Card
115,115,Debit Card
116,116,UPI
117,117,Debit Card
118,118,Wallet
119,119,Credit Card
120,120,Debit Card
121,121,UPI
122,122,Credit Card
123,123,Credit Card
124,124,Wallet
125,125,Wallet
126,126,Net Banking
127,127,Wallet
128,128,Debit Card
129,129,UPI
130,130,UPI
