return_id,order_id,return_reason
1,3,Quality Issue
2,6,Late Delivery
3,13,Wrong Item
4,27,Damaged
5,67,Damaged
6,74,Late Delivery
7,76,Quality Issue
8,78,Quality Issue
9,86,Late Delivery
10,95,Damaged
11,105,Damaged
12,106,Wrong Item
13,108,Quality Issue
14,112,Wrong Item
15,116,Late Delivery
16,121,Damaged
17,141,Wrong Item
18,172,Late Delivery
19,197,Quality Issue
20,207,Damaged
21,214,Wrong Item
22,228,Wrong Item
23,236,Damaged
24,241,Late Delivery
25,250,Wrong Item
26,261,Wrong Item
27,263,Quality Issue
28,266,Wrong Item
29,270,Wrong Item
30,273,Quality Issue
31,282,Wrong Item
32,300,Quality Issue
33,330,Quality Issue
34,333,Damaged
35,344,Damaged
36,363,Late Delivery
37,365,Late Delivery
38,380,Wrong Item
39,392,Quality Issue
40,393,Late Delivery
41,411,Quality Issue
42,430,Late Delivery
43,438,Quality Issue
44,443,Quality Issue
45,454,Damaged
46,477,Wrong Item
47,481,Wrong Item
48,487,Damaged
49,495,Wrong Item
50,525,Wrong Item
51,526,Damaged
52,529,Damaged
53,555,Damaged
54,566,Damaged
55,567,Late Delivery
56,569,Quality Issue
57,573,Wrong Item
58,589,Late Delivery
59,608,Damaged
60,613,Quality Issue
61,623,Quality Issue
62,634,Wrong Item
63,652,Late Delivery
64,654,Damaged
65,656,Wrong Item
66,663,Quality Issue
67,677,Wrong Item
68,681,Quality Issue
69,702,Wrong Item
70,715,Late Delivery
71,721,Quality Issue
72,732,Wrong Item
73,742,Quality Issue
74,759,Quality Issue
75,764,Late Delivery
76,790,Quality Issue
77,804,Quality Issue
78,817,Quality Issue
79,821,Damaged
80,839,Wrong Item
81,910,Damaged
82,919,Late Delivery
83,933,Damaged
84,934,Damaged
85,942,Late Delivery
86,962,Wrong Item
87,972,Late Delivery
88,1001,Late Delivery
89,1007,Late Delivery
90,1015,Late Delivery
91,1018,Wrong Item
92,1039,Late Delivery
93,1042,Late Delivery
94,1048,Quality Issue
95,1056,Wrong Item
96,1068,Wrong Item
97,1072,Late Delivery
98,1085,Wrong Item
99,1097,Wrong Item
100,1102,Damaged
101,1114,Quality Issue
102,1131,Quality Issue
103,1140,Wrong Item
104,1153,Damaged
105,1155,Quality Issue
106,1158,Wrong Item
107,1165,Quality Issue
108,1214,Wrong Item
109,1226,Late Delivery
110,1230,Quality Issue
111,1256,Late Delivery
112,1264,Damaged
113,1275,Late Delivery
114,1277,Damaged
115,1289,Quality Issue
116,1291,Wrong Item
117,1314,Wrong Item
118,1316,Late Delivery
119,1324,Quality Issue
120,1393,Damaged
121,1400,Late Delivery
122,1408,Damaged
123,1414,Quality Issue
124,1419,Late Delivery
125,1425,Late Delivery
126,1452,Late Delivery
127,1490,Late Delivery
128,1493,Wrong Item
129,1499,Damaged
130,1512,Wrong Item
131,1515,Wrong Item
132,1528,Damaged
133,1553,Wrong Item
134,1574,Late Delivery
135,1577,Quality Issue
136,1579,Damaged
137,1582,Wrong Item
138,1587,Damaged
139,1614,Damaged
140,1650,Wrong Item
141,1683,Damaged
142,1685,Late Delivery
143,1692,Quality Issue
144,1696,Wrong Item
145,1701,Quality Issue
146,1704,Wrong Item
147,1725,Quality Issue
148,1728,Damaged
149,1732,Quality Issue
150,1756,Late Delivery
151,1757,Damaged
152,1779,Wrong Item
153,1780,Quality Issue
154,1787,Quality Issue
155,1795,Late Delivery
156,1851,Damaged
157,1855,Wrong Item
158,1856,Late Delivery
159,1863,Late Delivery
160,1874,Quality Issue
161,1880,Damaged
162,1889,Damaged
163,1900,Quality Issue
164,1901,Damaged
165,1903,Quality Issue
166,1904,Wrong Item
167,1919,Quality Issue
168,1928,Late Delivery
169,1939,Late Delivery
170,1949,Damaged
171,1955,Late Delivery
172,1969,Late Delivery
173,1983,Quality Issue
174,1999,Wrong Item
175,2004,Late Delivery
176,2014,Late Delivery
177,2022,Late Delivery
178,2096,Damaged
179,2100,Late Delivery
180,2105,Quality Issue
181,2117,Damaged
182,2137,Damaged
183,2148,Quality Issue
184,2182,Quality Issue
185,2202,Late Delivery
186,2220,Damaged
187,2224,Damaged
188,2235,Damaged
189,2267,Wrong Item
190,2281,Damaged
191,2304,Wrong Item
192,2307,Quality Issue
193,2316,Quality Issue
194,2319,Late Delivery
195,2332,Wrong Item
196,2346,Late Delivery
197,2351,Quality Issue
198,2368,Quality Issue
199,2394,Wrong Item
200,2408,Wrong Item
201,2420,Wrong Item
202,2422,Quality Issue
203,2433,Quality Issue
204,2435,Wrong Item
205,2442,Wrong Item
206,2473,Wrong Item
207,2496,Wrong Item
208,2498,Wrong Item
209,2510,Wrong Item
210,2511,Wrong Item
211,2512,Late Delivery
212,2538,Wrong Item
213,2541,Quality Issue
214,2550,Damaged
215,2552,Quality Issue
216,2560,Damaged
217,2567,Wrong Item
218,2582,Late Delivery
219,2592,Damaged
220,2595,Damaged
221,2606,Wrong Item
222,2613,Late Delivery
223,2628,Quality Issue
224,2631,Quality Issue
225,2652,Damaged
226,2655,Damaged
227,2667,Quality Issue
228,2681,Quality Issue
229,2683,Wrong Item
230,2698,Quality Issue
231,2700,Wrong Item
232,2718,Damaged
233,2730,Damaged
234,2738,Quality Issue
235,2758,Wrong Item
236,2770,Wrong Item
237,2820,Wrong Item
238,2847,Late Delivery
239,2861,Quality Issue
240,2874,Quality Issue
241,2899,Quality Issue
242,2901,Wrong Item
243,2920,Wrong Item
244,2930,Wrong Item
245,2945,Wrong Item
246,2965,Wrong Item
247,2971,Quality Issue
248,2982,Damaged
249,2989,Wrong Item
250,3014,Late Delivery
251,3017,Quality Issue
252,3034,Late Delivery
253,3037,Wrong Item
254,3043,Damaged
255,3087,Damaged
256,3088,Late Delivery
257,3089,Damaged
258,3098,Damaged
259,3100,Quality Issue
260,3101,Wrong Item
261,3103,Quality Issue
262,3118,Quality Issue
263,3129,Damaged
264,3141,Wrong Item
265,3151,Quality Issue
266,3152,Late Delivery
267,3161,Late Delivery
268,3194,Quality Issue
269,3195,Damaged
270,3197,Late Delivery
271,3202,Late Delivery
272,3211,Quality Issue
273,3223,Damaged
274,3247,Wrong Item
275,3248,Wrong Item
276,3267,Late Delivery
277,3286,Wrong Item
278,3342,Late Delivery
279,3344,Wrong Item
280,3365,Damaged
281,3384,Wrong Item
282,3397,Wrong Item
283,3400,Late Delivery
284,3403,Quality Issue
285,3405,Quality Issue
286,3406,Wrong Item
287,3417,Late Delivery
288,3427,Wrong Item
289,3458,Wrong Item
290,3460,Late Delivery
291,3464,Late Delivery
292,3493,Quality Issue
293,3504,Wrong Item
294,3523,Damaged
295,3579,Wrong Item
296,3590,Quality Issue
297,3605,Wrong Item
298,3637,Damaged
299,3643,Damaged
300,3656,Damaged
301,3667,Quality Issue
302,3671,Quality Issue
303,3673,Late Delivery
304,3704,Late Delivery
305,3709,Quality Issue
306,3729,Quality Issue
307,3744,Damaged
308,3750,Late Delivery
309,3754,Wrong Item
310,3790,Wrong Item
311,3805,Late Delivery
312,3807,Late Delivery
313,3810,Damaged
314,3823,Wrong Item
315,3850,Damaged
316,3867,Quality Issue
317,3894,Quality Issue
